区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
北京·北京·石景山区,八大处公园,3063258403,文化古迹,4A景区,热度 0.72,北京市石景山区八达处路3号,有八座古寺而得名，香山外另一爬山绝佳地,"116.190163,39.967956"
辽宁·锦州·北镇市,青岩寺,2470094640,文化古迹,,热度 1.0,辽宁省锦州市北镇市,建筑位置险要，结构布局奇特,"121.633058,41.467058"
浙江·温州·洞头县,望海楼,2122550469,文化古迹,,热度 0.7,浙江省温州市洞头县,洞头具有观赏价值的特色旅游区,"121.136059,27.842985"
江苏·苏州·金阊区,七里山塘,2086978906,文化古迹,4A景区,热度 0.74,江苏省苏州市金阊区广济路218号,弯月般的石桥，白墙灰瓦的古宅,"120.609739,31.322922"
江苏·南京·夫子庙,夫子庙大成殿,2428867156,文化古迹,,热度 0.7,江苏省南京市秦淮区贡院街152号,是供奉著名思想家、教育家孔子的庙宇,"118.795346,32.026901"
浙江·嘉兴·乌镇,乌镇东栅,1847125241,文化古迹,,热度 0.0,浙江省嘉兴桐乡市乌镇子夜路18号,有水乡美景，品文化底蕴,"120.503219,30.747083"
湖南·长沙·天心区,杜甫江阁,263597565,文化古迹,,热度 0.0,湖南省长沙市湘江中路二段108号,江阁登临，可近观橘洲风景，远眺麓山烟云,"112.975371,28.190587"
海南·万宁,东山岭文化旅游区,3097683122,文化古迹,4A景区,热度 0.8,海南省万宁市万城镇以东2公里处,奇峰巨壁雄峙南天，幽谷清泉逶迤绵长,"110.427807,18.808458"
陕西·西安·碑林区,小雁塔,61652045,文化古迹,,热度 0.0,陕西省西安市碑林区友谊西路72号,亲手体验拓印碑文，感受传统文化的魅力,"108.948496,34.245487"
浙江·嘉兴·海宁市,盐官观潮景区,3911355788,文化古迹,4A景区,热度 0.0,浙江省嘉兴海宁市盐官镇春熙路131号,天下奇观海宁潮的绝佳观赏地,"120.553255,30.40823"
河南·三门峡·陕县,陕州地坑院,1461802010,文化古迹,,热度 0.0,河南省三门峡市陕州地坑院民俗文化园附近（东方向154米左右）,祖祖辈辈黄土人割舍不尽流淌着的血脉,"111.145534,34.697394"
安徽·黄山·屯溪区,花山谜窟,3848362749,文化古迹,4A景区,热度 0.7,安徽省黄山市屯溪区屯光浯村花山迷窟景区,北纬30度神秘线上的第九大奇观,"118.395974,29.750068"
浙江·杭州·西湖,杭州飞来峰,3834620844,文化古迹,,热度 0.72,浙江省杭州市西湖区灵隐路法云弄1号,江南少见的古代石窟艺术瑰宝,"120.107258,30.243005"
天津·天津·和平区,张学良故居,1598655509,文化古迹,,热度 0.72,天津市和平区赤峰道78号,体味张学良将军生活的原貌,"117.208314,39.129747"
河南·洛阳·洛龙区,洛阳白马寺,3773060417,文化古迹,4A景区,热度 0.8800000000000001,河南省洛阳市洛龙区白马寺镇310国道,一座历史悠久的古刹,"112.609473,34.726745"
河南·洛阳·洛龙区,香山寺,231310031,文化古迹,,热度 0.74,河南省洛阳市洛龙区香山寺,龙门凡十寺，中国早期佛寺之一,"112.486647,34.560451"
北京·北京·东城区,天坛公园,1053903287,文化古迹,5A景区,热度 0.8,北京市东城区天坛内东里7号,探寻古代皇帝祭天仪式的奥秘,"116.417313,39.887976"
湖北·宜昌·三峡人家,巴王寨,3489849372,文化古迹,,热度 0.0,湖北省宜昌市夷陵区西陵峡三峡人家景区内,神秘的巴王寨,"111.170813,30.805766"
河北·承德·滦平县,金山岭长城,1254672256,文化古迹,4A景区,热度 0.74,河北承德滦平县巴克什营,万里长城，金山独秀,"117.25213,40.692652"
四川·宜宾·翠屏区,李庄古镇,194780309,文化古迹,4A景区,热度 0.72,四川省宜宾市翠屏区李庄镇文星街1号,中国文化的折射点，民族精神的涵养地,"104.808612,28.809049"
山西·晋中·祁县,乔家大院,1203837703,文化古迹,5A景区,热度 0.9400000000000001,山西省晋中市祁县乔家堡村,一栋带有历史印记的宅院,"112.44405,37.41108"
安徽·合肥·合肥市,李鸿章故居,1407878835,文化古迹,4A景区,热度 0.82,安徽省合肥市淮河路步行街208号,合肥现存保存完整大规模的名人故居,"117.297814,31.870344"
云南·昆明·西山区,昆明西山龙门景区,1353886282,文化古迹,4A景区,热度 0.74,云南省昆明市西山区西山公路,瞻仰文化碑林，看满清八旗遗迹,"102.640355,24.964658"
天津·天津·和平区,瓷房子,2971839392,文化古迹,3A景区,热度 0.82,天津市和平区赤峰道72号,中国古典艺术品与西洋建筑的完美结合,"117.202575,39.124825"
安徽·黄山·歙县,徽州古城,2111320238,文化古迹,5A景区,热度 0.7,安徽省黄山市歙县古城东南部,歙县古城的街巷基本保持着明、清风貌,"118.442455,29.871875"
安徽·马鞍山·雨山区,采石矶,2312433633,文化古迹,4A景区,热度 1.0,安徽省马鞍山市雨山区采石镇唐贤街1号,千古画卷，诗仙长眠之地,"118.466567,31.656788"
安徽·黄山·黟县,屏山村,2578540346,文化古迹,,热度 0.0,安徽省黄山市黟县屏山村,中国风水文化名村，小桥流水人家的风韵,"117.987148,29.945909"
浙江·宁波·伍山石窟度假区,聪明山水景区,821183158,文化古迹,4A景区,热度 0.0,浙江宁波宁海县长街镇唐岸头村伍山海滨石窟,展示古代采石奇迹与大自然的完美结合,"121.76268,29.213666"
山东·济宁·三孔,曲阜孔林,1848825924,文化古迹,5A景区,热度 0.8400000000000001,山东省济宁市曲阜城北,碑石如林，石仪成群，是名副其实的碑林,"116.999139,35.624655"
四川·成都·蒲江县,石象湖,1528209311,文化古迹,4A景区,热度 0.7,四川省成都市蒲江县成雅高速公路86公里出口处（蒲江服务区）,都市人寻觅的一片修养身心的净土,"103.43155,30.19131"
江西·景德镇·浮梁县,瑶里,3752083254,文化古迹,4A景区,热度 0.9800000000000001,江西省景德镇市浮梁县087县道瑶里风景区,比景德镇更老的瓷都,"117.588075,29.547307"
辽宁·大连·旅顺口区,203高地,140106730,文化古迹,,热度 0.7,辽宁省大连市旅顺石板桥,回首满目疮痍的战争遗址，世界需要和平,"121.296029,38.907976"
湖南·长沙·天心区,天心阁,1415873171,文化古迹,4A景区,热度 0.8,湖南省长沙市天心区天心路3号,夜观星象之所，吉祥之兆的风水宝地,"112.988272,28.190228"
重庆·重庆·渝中区,重庆市人民大礼堂,208797315,文化古迹,4A景区,热度 0.72,重庆市渝中区人民路173号,继北京和沈阳故宫后的精美奇巧的东方建筑,"106.559947,29.567994"
四川·成都·都江堰市,都江堰水果侠星球,4121730918,文化古迹,,热度 0.0,四川省成都都江堰市玉堂镇鑫玉大道130号,拜水都江堰，欢乐水果侠,"103.60936,30.980932"
山西·忻州·代县,雁门关,227376430,文化古迹,5A景区,热度 0.72,山西省忻州代县雁门关景区（二广高速新广武出口8公里）,与宁武关、偏关合称为“外三关”,"112.894892,39.168842"
北京·北京·密云县,司马台长城,2335961053,文化古迹,4A景区,热度 0.76,北京市密云县东北部的古北口镇境内,城墙依险峻山势而筑，以奇、特、险著称于世,"117.284641,40.660322"
浙江·杭州·西湖,胡雪岩故居,3898235716,文化古迹,,热度 0.72,浙江省杭州市上城区元宝街18号,红木官轿值得一看,"120.179401,30.242803"
广东·韶关·浈江区,韶关丹霞山,1940685610,文化古迹,5A景区,热度 1.0,广东省韶关市浈江区丹霞山风景名胜区,丹霞地貌命名地,"113.745153,25.0304"
上海·上海·松江区,广富林文化遗址,3762549429,文化古迹,,热度 0.0,上海市松江区广富林路3260弄,上海历史文化之根,"121.20174,31.063886"
山西·晋城·阳城县,皇城相府,3029001101,文化古迹,5A景区,热度 1.0,山西省晋城市阳城县北留镇皇城村,大美皇城，传统中国年,"112.588586,35.519979"
江苏·苏州·吴中区,木渎古镇,3127571745,文化古迹,4A景区,热度 0.76,江苏省苏州市吴中区中山西路,与灵山相辅相成，展现园林古镇的魅力,"120.512729,31.260181"
云南·红河·建水县,建水小火车,1006254502,文化古迹,,热度 0.0,云南省红河市建水县临安火车站,百年寸轨黄金线，千年古城观光车,"102.837955,23.628677"
贵州·黔东南·从江县,岜沙苗寨,1794934291,文化古迹,,热度 0.78,贵州省黔东南从江县岜沙苗寨,为数不多的苗族风情景点之一,"108.873228,25.726854"
山东·潍坊·青州市,青州泰和旅游区,3686550549,文化古迹,4A景区,热度 0.0,山东省潍坊青州市青州泰和旅游区,融人文景观与自然风光于一体的风景区,"118.270875,36.549218"
安徽·池州·青阳县,九子岩景区,1428064135,文化古迹,4A景区,热度 0.7,安徽省池州市青阳县九华山风景区东北,雄可敌黄山、险可比华山、秀可望黄山,"117.872727,30.545808"
江苏·无锡·滨湖区,吴都阖闾城遗址博物馆,1851899316,文化古迹,,热度 0.0,江苏省无锡市滨湖区太湖国家旅游度假区阖闾村闾江口,再现了春秋吴国的精彩篇章,"120.13548,31.524294"
福建·漳州·南靖县,南靖土楼群,760039225,文化古迹,,热度 0.0,福建省漳州市南靖县书洋镇(旧圩)田螺坑,美不胜收的土楼王国,"117.293053,24.668803"
四川·阿坝藏族羌族自治州·松潘县,黄龙风景区,3863969464,文化古迹,5A景区,热度 0.74,四川省阿坝藏族羌族自治州松潘县,保护完好的高原湿地,"103.839798,32.75533"
河南·郑州·巩义市,康百万庄园,164823683,文化古迹,4A景区,热度 0.72,河南省巩义市康店镇庄园路59号,黄土高原封建堡垒式建筑的代表,"112.957185,34.76884"
武里府·芭堤雅,四方水上市场,2847208976,文化古迹,,热度 0.0,451/304 หมู่ที่ 12 ถนน สุขุมวิทพัทยา ตำบล หนองบรือ อำเภอ บางละมุง ชลบุรี 20150,《杜拉拉升职记》电影外景拍摄地,"100.904585335276,12.8679733462881"
河北·承德·双桥区,避暑山庄,3558786789,文化古迹,5A景区,热度 1.0,河北省承德市双桥区丽正门大街20号,古代帝王宫苑，清代皇帝避暑处理政务地,"117.940068,41.002781"
重庆·重庆·沙坪坝区,磁器口古镇,4154898069,文化古迹,4A景区,热度 0.8,重庆市沙坪坝区磁南街1号,古色古香，人文荟萃，风景优美,"106.458175,29.585837"
安徽·宣城·绩溪县,徽杭古道,4104039431,文化古迹,4A景区,热度 0.0,安徽省宣城市绩溪县伏岭镇江南村,徽杭古道——驴友的小学毕业考试,"118.775769,30.145473"
安徽·黄山·徽州区,呈坎,4063128222,文化古迹,5A景区,热度 0.72,安徽省黄山市徽州区呈坎镇,集自然八卦和人文八卦相结合的千年古村,"118.293031,29.928992"
陕西·延安·宝塔区,南泥湾革命旧址,204882123,文化古迹,,热度 0.7,陕西省延安市宝塔区延安城东南45公里处,中国共产党军垦事业的发祥地,"109.677516,36.321241"
甘肃·酒泉·敦煌市,敦煌莫高窟,2267073005,文化古迹,,热度 0.9,甘肃省酒泉市敦煌市东南25公里,世界文化遗产，人类艺术的殿堂,"94.77389,40.167452"
河南·开封·鼓楼区,包公祠,1716799510,文化古迹,4A景区,热度 0.9199999999999999,河南省开封市鼓楼区向阳路1号,开封有个包青天，铁面无私辨忠奸,"114.345583,34.799117"
湖南·岳阳·岳阳楼—君山岛景区,小乔墓,1872276957,文化古迹,,热度 0.0,湖南省岳阳市岳阳楼区岳阳楼,园内建筑，覆以青色琉璃，具有江南园林风格,"113.101107,29.388857"
重庆·重庆·渝中区,朝天门,2016792752,文化古迹,,热度 0.0,重庆市渝中区渝中半岛嘉陵江与长江交汇处,重庆十大文化符号”之一,"108.645189,31.029858"
山东·烟台·昆嵛山国家森林公园,无染寺,2657698354,文化古迹,,热度 0.0,山东省烟台市牟平区东南20公里昆嵛山国家森林公园内（烟台市威海市交界处）,人称,"121.782761,37.228493"
重庆·重庆·大足石刻,宝顶山景区,256420501,文化古迹,,热度 0.72,重庆市大足县宝顶镇大足石刻景区,是一座造像近万尊的大型佛教密宗道场,"105.803535,29.757869"
江西·上饶·婺源县,婺源风景区,456786705,文化古迹,5A景区,热度 1.0,江西省上饶市婺源县文公北路,中国绝美乡村，开始你的文艺之旅,"117.861924,29.247904"
广西·柳州·三江县,广西《坐妹》大型实景演出,2680964890,文化古迹,,热度 0.0,广西柳州三江古宜镇侗乡鸟巢,非物质文化遗产,"109.621558,25.785558"
江苏·徐州·九里区,龟山汉墓,1037657140,文化古迹,3A景区,热度 0.96,江苏省徐州市九里经济开发区襄王北路3号,世界罕见，中华一绝,"117.144217,34.313706"
浙江·湖州·长兴县,陈武帝,1639931448,文化古迹,,热度 0.7,浙江省湖州市长兴县下箬寺乡,陈武帝故居,"119.943815,31.01176"
湖南·张家界·武陵源区,武陵源风景名胜区,3726533679,文化古迹,,热度 1.0,湖南省张家界市武陵源区,世界自然遗产，张家界核心景区,"110.487843,29.3416"
福建·漳州·南靖土楼群,田螺坑土楼群,3757888270,文化古迹,,热度 0.9800000000000001,福建省漳州市南靖县书洋镇,当地人戏称“四菜一汤”,"117.067305,24.589879"
广西·桂林·阳朔县,图腾古道,2476829498,文化古迹,4A景区,热度 0.74,广西壮族自治区桂林市阳朔县十里画廊图腾古道景区,邂逅山水画卷，感受浪漫风情,"110.499448,24.754559"
宁夏·银川·灵武市,水洞沟旅游区,3773656333,文化古迹,5A景区,热度 0.82,"宁夏银川市灵武市临河镇水洞沟旅游景区（西距银川市19公里,距机场11公里）",古人类、古长城遗址地,"106.525497,38.289477"
海南·澄迈,海南永庆寺文化旅游区,4068831186,文化古迹,,热度 0.0,海南省澄迈县老城经济开发区盈滨半岛永庆寺,进去后心就静下来了，名不虚传，值得一去,"110.103838,19.987345"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
重庆·重庆·丰都县,丰都鬼城,613966419,文化古迹,4A景区,热度 0.74,重庆市丰都县名山镇名山路152号,鬼城寻鬼，阴朝地府走一遭,"107.731507,29.891926"
甘肃·酒泉·敦煌市,玉门关,3463828129,文化古迹,,热度 0.82,甘肃省酒泉市敦煌市城西北80公里的戈壁滩上,到古老关塞赏戈壁风光,"93.87168,40.360143"
浙江·宁波·溪口景区,雪窦山,1102031209,文化古迹,,热度 0.74,浙江省宁波奉化市溪口镇武岭西路39-1号,"让心灵去远行,去雪窦山进行一场禅修之旅吧","121.290404,29.687924"
山东·济宁·三孔,曲阜孔庙,732439708,文化古迹,,热度 0.0,山东省济宁市曲阜市神道路半壁街,中国古代封建王朝祭祀孔子的礼制庙宇,"116.996346,35.598318"
陕西·西安·灞桥区,西安半坡博物馆,598307051,文化古迹,4A景区,热度 0.7,陕西省西安市东郊半坡路155号,感受新石器时代的仰韶文化,"109.057557,34.279342"
河南·南阳·宛城区,南阳府衙,4181481740,文化古迹,,热度 0.0,河南省南阳市宛城区民主街100号,南阳历史文化名城的一颗明珠,"112.543726,32.998989"
江西·景德镇·浮梁县,浮梁古县衙,3980334648,文化古迹,4A景区,热度 0.76,江西省景德镇浮梁县浮梁古县衙景区,我国江南保存完整的清代县级衙暑,"117.257663,29.373252"
湖南·衡阳·衡阳县,石鼓书院,1787883420,文化古迹,3A景区,热度 0.0,湖南省衡阳市石鼓区湘江北路,帆影点点，渔歌唱晚，石鼓江山锦绣华,"112.623519,26.916938"
